"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Canyon bat, Western pipistrelle","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus"
"Louisiana waterthrush","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Parkesia","Parkesia motacilla"
"Northern waterthrush","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Parkesia","Parkesia noveboracensis"
"English sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","Parophrys vetulus"
"House sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus"
"Savannah sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis"
"Fox sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca"
"Lazuli bunting","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Passerina","Passerina amoena"
"Blue grosbeak","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina caerulea"
"Painted bunting","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina ciris"
"Indigo bunting","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina cyanea"
"Band-tailed pigeon","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Patagioenas","Patagioenas fasciata"
"Fisher","Eukaryota","Chordata","Mammalia","Carnivora","Mustelidae","Pekania","Pekania pennanti"
"American white pelican","Eukaryota","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus erythrorhynchos"
"Brown pelican","Eukaryota","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus occidentalis"
"Yellow perch","Eukaryota","Chordata","Actinopterygii","Perciformes","Percidae","Perca","Perca flavescens"
"Sand roller","Eukaryota","Chordata","Actinopterygii","Percopsiformes","Percopsidae","Percopsis","Percopsis transmontana"
"Gray partridge","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix"
"Gray jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis"
"Little pocket mouse","Eukaryota","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus longimembris"
"Great Basin pocket mouse","Eukaryota","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus parvus"
"Brush deermouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii"
"Canyon mouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus crinitus"
"Deer mouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus"
"Western deermouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus sonoriensis"
"Pinyon Mouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus truei"
"Cave swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon fulva"
"Cliff swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota"
"Cassin's sparrow","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Peucaea","Peucaea cassinii"
"Red-billed tropicbird","Eukaryota","Chordata","Aves","Pelecaniformes","Phaethontidae","Phaethon","Phaethon aethereus"
"Phainopepla","Eukaryota","Chordata","Aves","Passeriformes","Bombycillidae","Phainopepla","Phainopepla nitens"
"Double-crested cormorant","Eukaryota","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax auritus"
"Pelagic cormorant","Eukaryota","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax pelagicus"
"Brandt's cormorant","Eukaryota","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax penicillatus"
"Common poorwill","Eukaryota","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","Phalaenoptilus nuttallii"
"Red phalarope","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus fulicarius"
"Red-necked phalarope","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus lobatus"
"Wilson's phalarope","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus tricolor"
"White surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","Phanerodon furcatus"
"Ring-necked pheasant","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus colchicus"
"Heather vole","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Phenacomys","Phenacomys intermedius"
"Rose-breasted grosbeak","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus","Pheucticus ludovicianus"
"Black-headed grosbeak","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus","Pheucticus melanocephalus"
"Harbor seal","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"Harbor porpoise","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"Dall's porpoise","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoenoides","Phocoenoides dalli"
"Short-tailed albatross","Eukaryota","Chordata","Aves","Procellariiformes","Diomedeidae","Phoebastria","Phoebastria albatrus"
"Laysan albatross","Eukaryota","Chordata","Aves","Procellariiformes","Diomedeidae","Phoebastria","Phoebastria immutabilis"
"Black-footed albatross","Eukaryota","Chordata","Aves","Procellariiformes","Diomedeidae","Phoebastria","Phoebastria nigripes"
"Saddleback gunnel","Eukaryota","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis ornata"
"Pygmy short-horned lizard","Eukaryota","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma douglasii"
"Desert horned lizard","Eukaryota","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma platyrhinos"
"Arctic warbler","Eukaryota","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus borealis"
"Dusky warbler","Eukaryota","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus fuscatus"
"Sperm whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Physeteridae","Physeter","Physeter catodon"
"Black-billed magpie","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica hudsonia"
"Black-backed woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides arcticus"
"American three-toed woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides dorsalis"
"Hairy woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides villosus"
"Pine grosbeak","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Pinicola","Pinicola enucleator"
"Green-tailed towhee","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus"
"Eastern towhee","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo erythrophthalmus"
"Spotted towhee","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus"
"Western tanager","Eukaryota","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"Scarlet tanager","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga olivacea"
"Summer tanager","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga rubra"
"Gopher snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Pituophis","Pituophis catenifer"
"Starry flounder","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","Platichthys stellatus"
"McKay's bunting","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Plectrophenax","Plectrophenax hyperboreus"
"Snow bunting","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Plectrophenax","Plectrophenax nivalis"
"White-faced ibis","Eukaryota","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis chihi"
"Glossy ibis","Eukaryota","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus"
"Western skink","Eukaryota","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon skiltonianus"
"Dunn's salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon dunni"
"Del Norte salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon elongatus"
"Larch Mountain salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon larselli"
"Siskiyou Mountains salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon stormi"
"Western red-backed salamander","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon vehiculum"
"Curlfin sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys decurrens"
"American golden-plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis dominica"
"Pacific golden-plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis fulva"
"Black-bellied plover","Eukaryota","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola"
"Horned grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus"
"Red-necked grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps grisegena"
"Eared grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis"
"Pied-billed grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps"
"Black-capped chickadee","Eukaryota","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"Mountain chickadee","Eukaryota","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile gambeli"
"Chestnut-backed chickadee","Eukaryota","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile rufescens"
"Blue-gray gnatcatcher","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Polioptila","Polioptila caerulea"
"Steller's eider","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Polysticta","Polysticta stelleri"
"White crappie","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Pomoxis","Pomoxis annularis"
"Black crappie","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Pomoxis","Pomoxis nigromaculatus"
"Vesper sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Pooecetes","Pooecetes gramineus"
"Sora","Eukaryota","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina"
"Blue shark","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"Common raccoon","Eukaryota","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor"
"Purple martin","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne subis"
"Mountain whitefish","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Prosopium","Prosopium williamsoni"
"Prothonotary warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Protonotaria","Protonotaria citrea"
"Bushtit","Eukaryota","Chordata","Aves","Passeriformes","Aegithalidae","Psaltriparus","Psaltriparus minimus"
"Sand sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","Psettichthys melanostictus"
"Pacific treefrog","Eukaryota","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris regilla"
"False killer whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Pseudorca","Pseudorca crassidens"
"Flammulated owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Psiloscops","Psiloscops flammeolus"
"Cook's petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma cookii"
"Juan Fernandez petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma externa"
"Mottled petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma inexpectata"
"Stejneger's petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma longirostris"
"Hawaiian petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma sandwichensis"
"Murphy's petrel","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma ultima"
"Northern pikeminnow","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Ptychocheilus","Ptychocheilus oregonensis"
"Umpqua pikeminnow","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Ptychocheilus","Ptychocheilus umpquae"
"Cassin's auklet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Ptychoramphus","Ptychoramphus aleuticus"
"Black-vented shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus opisthomelas"
"Manx shearwater","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus puffinus"
"Cougar","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Puma","Puma concolor"
"Flathead catfish","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Pylodictis","Pylodictis olivaris"
"Vermilion flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Pyrocephalus","Pyrocephalus rubinus"
"Great-tailed grackle","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus mexicanus"
"Common grackle","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula"
"Big skate","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja binoculata"
"California skate","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja inornata"
"Longnose skate","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja rhina"
"Virginia rail","Eukaryota","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus limicola"
"Northern red-legged frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Rana","Rana aurora"
"Foothill yellow-legged frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Rana","Rana boylii"
"Cascades frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Rana","Rana cascadae"
"Columbia spotted frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Rana","Rana luteiventris"
"Oregon spotted frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Rana","Rana pretiosa"
"Norway rat","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus"
"Black rat","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus rattus"
"American avocet","Eukaryota","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra americana"
"Ruby-crowned kinglet","Eukaryota","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus calendula"
"Golden-crowned kinglet","Eukaryota","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus satrapa"
"Western harvest mouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis"
"Pile surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus vacca"
"Longnose dace","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Rhinichthys","Rhinichthys cataractae"
"Umpqua dace","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Rhinichthys","Rhinichthys evermanni"
