"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Hutton's vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo huttoni"
"Red-eyed vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo olivaceus"
"Philadelphia vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo philadelphicus"
"Plumbeous vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo plumbeus"
"Blue-headed vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius"
"Kit fox","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes macrotis"
"Red fox","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes"
"Yellow-headed blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Xanthocephalus","Xanthocephalus xanthocephalus"
"Sabine's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Xema","Xema sabini"
"Swordfish","Eukaryota","Chordata","Actinopterygii","Istiophoriformes","Xiphiidae","Xiphias","Xiphias gladius"
"Rock prickleback","Eukaryota","Chordata","Actinopterygii","Perciformes","Stichaeidae","Xiphister","Xiphister mucosus"
"California sea lion","Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus"
"Western jumping mouse","Eukaryota","Chordata","Mammalia","Rodentia","Dipodidae","Zapus","Zapus princeps"
"Pacific jumping mouse","Eukaryota","Chordata","Mammalia","Rodentia","Dipodidae","Zapus","Zapus trinotatus"
"White-winged dove","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida asiatica"
"Mourning dove","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"Cuvier's beaked whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Ziphiidae","Ziphius","Ziphius cavirostris"
"White-throated sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis"
"Golden-crowned sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia atricapilla"
"White-crowned sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys"
"Harris's sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia querula"
